id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0006735d-c025-4967-9070-5d358e4e1df1,companies.diy,available,39.99,,62,16,9,name.com,,
00093b9e-5f06-4f46-93c9-4bdf3e4dbe17,beans.diy,premium,87.5,,74,20,5,name.com,,
000c4f5a-02f9-4531-a5bf-9ea6d820e746,instride.diy,available,39.99,,72,5,9,name.com,,
002a9f03-419a-4de0-957d-cfc80b944bf3,stonewalls.diy,available,39.99,,51,2,10,name.com,,
003e8d72-8dc6-4a1f-ba31-269d3c294f13,shouts.diy,available,39.99,,47,5,6,name.com,,
004e7127-23f6-41af-9f00-10317f2af72c,suits.diy,premium,87.5,,61,13,5,name.com,,
0075b8f1-a5a8-4293-92d9-c6f2c8ac0449,howthedevil.diy,available,39.99,,40,0,13,name.com,,
00765486-e516-4b64-8c0a-25124aca60a2,goby.diy,premium,218.75,,74,9,5,name.com,,
007e7222-2b9b-4523-b451-10a9b91d3e2b,godark.diy,available,39.99,,68,5,7,name.com,,
007e7a8e-4349-4ef2-b5e7-02f1ef25248a,changeofvenue.diy,available,39.99,,60,1,15,name.com,,
0085779b-30ac-4e84-a8ad-673b185bc271,grandnephews.diy,available,5.49,39.99,66,1,12,namesilo,,
0087b94e-04cc-49bb-9dcb-a151f2ee4d9f,introductory.diy,available,39.99,,74,2,12,name.com,,
009de2e3-b64f-48db-bb71-7de7a86c2acf,playin.diy,available,39.99,,80,10,7,name.com,,
00b284c5-9912-4adc-a639-2c8ae1858e3a,pages.diy,premium,437.5,,52,28,5,name.com,,
00b94381-c905-4f53-a8e0-774473be48cb,packingtape.diy,available,39.99,,70,2,12,name.com,,
00c2bdd8-6688-4fcf-a336-6e7b00378584,doup.diy,premium,218.75,,70,5,5,name.com,,
00c380fc-c276-4802-83c9-f0b5ff451d6a,slideshow.diy,available,39.99,,72,8,10,name.com,,
00dd2aa6-0857-4788-8d0b-49cdb0d3e722,yielded.diy,available,39.99,,56,3,7,name.com,,
00e9942d-2907-4071-b185-12460182bb72,hides.diy,premium,87.5,,50,5,5,name.com,,
01040eb4-96cc-497c-bc8b-5eb06b2de767,childmarriage.diy,available,39.99,,48,2,14,name.com,,
0118bff4-ec18-456d-9bfa-7df51dd43d77,stepforward.diy,available,39.99,,74,10,12,name.com,,
0123cc8e-7815-4d02-bcb3-4f40b220b60d,jetblack.diy,available,39.99,,82,8,9,name.com,,
012749c8-dfb7-4c2c-8fe0-a9132bb7e731,scenes.diy,available,39.99,,54,8,6,name.com,,
012e7045-93ff-4510-bdd1-8bd5a839afd9,spellitout.diy,available,39.99,,74,2,12,name.com,,
012eb164-4530-42a4-8574-566f1f763e8b,grandfathers.diy,available,5.49,39.99,68,3,12,namesilo,,
01318d5c-155e-4313-baf1-2183adf8ef68,stared.diy,available,39.99,,56,4,6,name.com,,
01495c22-339e-44d2-bd29-0cb704559d0f,keephouse.diy,available,39.99,,70,2,10,name.com,,
01521545-4661-4a29-9aaf-3e42cef42ff0,letsomeonego.diy,available,39.99,,69,1,14,name.com,,
0162ff66-cf8a-49d0-9d5b-be25194cebda,sacks.diy,premium,87.5,,59,8,5,name.com,,
018ea2eb-1773-487e-b7c5-8eebe54810ca,thirdyear.diy,available,5.49,39.99,66,1,10,namesilo,,
01aaf489-cf62-4a14-bbb4-2bd8e69e8bef,females.diy,available,39.99,,62,8,7,name.com,,
01be8b92-bb7d-47ed-bb94-31203265672d,keyset.diy,available,5.49,39.99,52,3,7,namesilo,,
01f9edef-4202-4a6d-a660-0cfb9b4cc2bb,calculations.diy,available,39.99,,52,4,12,name.com,,
01fbea5e-9307-405d-81c6-b1c976fbb7fe,YankeeDoodle.diy,available,51.98,,63,2,13,namecheap,,
01ff7e08-d18e-4328-b384-d3c02a95f29a,changeover.diy,available,39.99,,68,5,11,name.com,,
02143294-793c-4060-974a-167cc3897287,congregational.diy,available,39.99,,56,2,14,name.com,,
022f4240-2344-464b-9453-06df06ed9060,horns.diy,premium,87.5,,56,9,5,name.com,,
024dd434-c206-4192-9069-86c9cd575e17,smashinto.diy,available,39.99,,38,0,10,name.com,,
02678de7-4581-4f37-901b-80715fc6499b,preliminarily.diy,available,39.99,,41,1,13,name.com,,
026a07e8-1b51-4535-9b86-cc87a894c9c9,uptoanything.diy,available,39.99,,52,1,14,name.com,,
028ffba9-bc2c-4ab7-9db0-949f6b030865,visioned.diy,available,39.99,,71,4,8,name.com,,
0290c4e9-9dae-4385-b46b-d2dfdd26d1d2,takes.diy,premium,87.5,,55,10,5,name.com,,
02d51cca-20a2-4717-ac75-ad60966b2c0e,cements.diy,available,5.49,39.99,56,3,7,namesilo,,
02e54a18-d5f8-49ae-8404-db9d251a961e,hookupwith.diy,available,39.99,,56,1,12,name.com,,
